"","指数代码","名称","最新价","涨跌额","涨跌幅","振幅","成交量","成交额","昨收","今开","最高","最低","5分钟涨跌"
"171","000829","300低贝","5847.57","-114.11","-1.91%","1.74","11270723840","105842528256","5961.68","5927.29","5938.15","5834.51","-0.10%"
"172","000159","沪股通","3518.84","-69.28","-1.93%","1.92","34097597696","461324890112","3588.12","3557.50","3575.47","3506.55","-0.09%"
"173","000047","上证全指","3760.27","-74.17","-1.93%","1.92","36611877888","474554159104","3834.44","3801.70","3820.15","3746.56","-0.09%"
"174","000051","180等权","9561.32","-190.18","-1.95%","2.08","21592953088","317512683520","9751.50","9673.77","9735.82","9532.95","-0.15%"
"175","000002","A股指数","3546.31","-70.56","-1.95%","1.76","55547554048","702853193728","3616.87","3583.66","3598.52","3534.97","-0.08%"
"176","000017","新综指","2859.51","-56.88","-1.95%","1.76","54591060736","651985428480","2916.39","2889.61","2901.60","2850.36","-0.08%"
"177","000001","上证指数","3383.32","-67.27","-1.95%","1.76","55612001024","703197548544","3450.59","3418.93","3433.11","3372.51","-0.08%"
"178","000135","180高贝","7915.75","-158.27","-1.96%","2.59","7953222144","157395636224","8074.02","7979.61","8098.23","7888.72","-0.22%"
"179","000950","300基建","1770.24","-35.82","-1.98%","2.24","3071291872","21120470528","1806.06","1799.89","1808.44","1768.03","-0.12%"
"180","000055","上证地企","1410.93","-29.00","-2.01%","1.95","6909065472","95291760640","1439.92","1428.56","1434.23","1406.09","-0.09%"
"181","000112","380电信","6907.51","-142.63","-2.02%","2.10","235042600","4578356224","7050.14","7019.53","7042.31","6893.94","-0.07%"
"182","000040","上证电信","3823.67","-79.42","-2.03%","3.19","1289228208","23179482112","3903.09","3916.33","3926.31","3801.76","-0.10%"
"183","000123","180动态","8269.18","-172.28","-2.04%","2.33","10286384128","191315685376","8441.46","8355.78","8426.34","8229.41","-0.15%"
"184","000994","全指电信","7271.70","-154.33","-2.08%","2.89","2816204448","49907782656","7426.02","7409.70","7459.62","7245.14","-0.12%"
"185","000025","180基建","1623.07","-34.83","-2.10%","2.31","2549799408","18371048192","1657.89","1652.74","1659.64","1621.33","-0.11%"
"186","000838","创业价值","1775.92","-38.29","-2.11%","2.07","3199205968","24097061888","1814.21","1800.11","1807.01","1769.41","-0.05%"
"187","000956","国企200","1330.05","-28.84","-2.12%","1.98","24365257472","316072017920","1358.89","1344.74","1351.89","1325.05","-0.10%"
"188","000971","等权90","3464.21","-75.70","-2.14%","1.88","14173612032","274427281408","3539.91","3500.23","3519.78","3453.06","-0.11%"
"189","000846","ESG100","1323.14","-29.09","-2.15%","2.00","14036631296","177208647680","1352.23","1342.01","1346.37","1319.39","-0.09%"
"190","000816","细分地产","6552.90","-145.92","-2.18%","1.98","3234110928","34849364992","6698.82","6596.04","6657.26","6524.78","-0.13%"
"191","000062","上证沪企","2221.48","-49.59","-2.18%","2.14","3297593008","48762334464","2271.07","2252.33","2263.10","2214.52","-0.11%"
"192","000844","300稳定","5196.50","-116.57","-2.19%","1.85","14937604864","187758776320","5313.07","5268.09","5278.24","5180.06","-0.07%"
"193","000853","CSSW丝路","1736.95","-39.02","-2.20%","2.27","6003931392","73482743808","1775.97","1765.50","1772.88","1732.50","-0.05%"
"194","000822","500红利","8141.74","-186.21","-2.24%","2.28","1869231040","19942488576","8327.96","8247.92","8302.58","8113.02","-0.11%"
"195","000170","50AH优选","6156.16","-140.94","-2.24%","1.85","4052211296","80737153024","6297.10","6247.36","6252.94","6136.17","-0.01%"
"196","000948","内地地产","6940.14","-162.04","-2.28%","1.96","2613608480","30006668288","7102.18","6986.11","7047.35","6908.11","-0.14%"
"197","000922","中证红利","4487.61","-104.99","-2.29%","1.99","6911993088","70632456192","4592.60","4550.66","4567.24","4475.67","-0.05%"
"198","000010","上证180","9882.73","-231.22","-2.29%","2.04","21592953088","317512683520","10113.94","10017.31","10054.85","9848.40","-0.10%"
"199","000903","中证100","4768.15","-113.26","-2.32%","1.89","15642165760","241537617920","4881.41","4829.37","4843.79","4751.51","-0.09%"
"200","000869","HK银行","2662.43","-63.37","-2.32%","2.04","952056800","6574054656","2725.80","2701.56","2711.04","2655.56","0.01%"
"201","000824","国企红利","1678.96","-40.12","-2.33%","1.81","7636581888","63521503488","1719.08","1703.55","1706.19","1675.12","-0.10%"
"202","000972","300沪市","4102.39","-98.82","-2.35%","2.04","21399133696","291797815296","4201.21","4161.31","4173.40","4087.86","-0.09%"
"203","000155","市值百强","3326.08","-80.33","-2.36%","2.04","14319692800","240596508672","3406.41","3373.34","3382.66","3313.20","-0.10%"
"204","000160","沪新丝路","1451.32","-35.29","-2.37%","2.07","6180781312","48524513536","1486.61","1477.08","1478.35","1447.52","-0.10%"
"205","000936","中证电信","6382.53","-155.08","-2.37%","3.25","1517130672","33135002880","6537.61","6530.28","6565.67","6353.23","-0.14%"
"206","000125","180稳定","11570.56","-284.95","-2.40%","1.92","11306568960","126196998144","11855.51","11745.62","11764.32","11537.22","-0.08%"
"207","000825","央企红利","2608.91","-64.41","-2.41%","2.01","4419764480","31748025856","2673.32","2647.72","2655.95","2602.32","-0.13%"
"208","000929","中证材料","2780.35","-69.79","-2.45%","1.85","8650174720","74043211776","2850.13","2821.10","2825.64","2773.02","-0.09%"
"209","000136","180低贝","10131.85","-254.74","-2.45%","2.00","8360578048","66421904128","10386.59","10319.72","10319.72","10111.49","-0.12%"
"210","000043","超大盘","2604.30","-65.90","-2.47%","2.05","3878454496","75076255744","2670.20","2642.68","2650.30","2595.58","-0.09%"
"211","000980","中证超大","3457.83","-89.51","-2.52%","1.98","8999037696","143634694144","3547.34","3508.21","3515.68","3445.46","-0.08%"
"212","000867","港中小企","2993.50","-77.61","-2.53%","2.51","4026232704","20882294528","3071.11","3067.30","3067.30","2990.07","-0.10%"
"213","000926","中证央企","1978.26","-51.89","-2.56%","2.13","21457221120","250058616832","2030.15","2010.24","2016.07","1972.82","-0.10%"
"214","000967","基本600","5573.90","-147.99","-2.59%","2.07","48519236864","625167175680","5721.89","5670.62","5677.06","5558.72","-0.10%"
"215","000129","180波动","12978.02","-348.47","-2.61%","2.02","12531801088","162147344384","13326.48","13218.06","13218.06","12948.90","-0.12%"
"216","000826","民企红利","3769.16","-101.54","-2.62%","2.81","825137392","13412662272","3870.70","3860.66","3865.84","3756.90","-0.10%"
"217","000916","300电信","3583.25","-96.53","-2.62%","3.48","1112253632","26836027392","3679.78","3676.22","3693.04","3564.95","-0.13%"
"218","000016","上证50","3351.78","-90.24","-2.62%","2.11","7904651776","139047235584","3442.02","3404.00","3411.09","3338.59","-0.08%"
"219","000056","上证国企","1181.11","-32.03","-2.64%","2.10","15030188032","202530578432","1213.14","1200.17","1202.90","1177.40","-0.10%"
"220","000801","资源80","2750.61","-74.50","-2.64%","1.85","6348686592","58180451584","2825.12","2796.60","2796.60","2744.39","-0.08%"
"221","000803","300波动","6881.66","-189.59","-2.68%","2.08","12934553600","129416040448","7071.25","7011.12","7011.12","6864.08","-0.11%"
"222","000071","材料等权","2892.43","-80.54","-2.71%","2.16","5175527168","40823750400","2972.97","2942.32","2948.15","2884.06","-0.12%"
"223","000100","上证F500","5010.78","-143.61","-2.79%","2.14","36027180032","418204532736","5154.39","5107.84","5107.84","4997.66","-0.11%"
"224","000979","大宗商品","3984.16","-114.62","-2.80%","2.13","7048898816","68762521600","4098.78","4060.75","4060.75","3973.60","-0.08%"
"225","000970","ESG40","1353.25","-39.29","-2.82%","2.30","5730973440","51497176832","1392.54","1381.83","1381.83","1349.77","-0.07%"
"226","000150","380红利","8641.79","-256.40","-2.88%","2.24","925028896","10793118464","8898.19","8777.82","8821.20","8622.22","-0.15%"
"227","000060","全R价值","3676.41","-109.51","-2.89%","2.24","32642556672","364647141376","3785.92","3748.11","3751.50","3666.73","-0.11%"
"228","000019","治理指数","1072.85","-32.40","-2.93%","2.25","16494164736","177572401152","1105.25","1094.71","1094.77","1069.92","-0.09%"
"229","000050","50等权","2688.89","-81.45","-2.94%","2.19","7904651776","139047235584","2770.33","2735.83","2739.57","2678.83","-0.09%"
"230","000151","上国红利","1111.12","-34.10","-2.98%","2.09","3480356896","21636356864","1145.22","1133.23","1133.23","1109.26","-0.09%"
"231","000901","小康指数","5149.05","-157.94","-2.98%","2.32","12461747200","146911412224","5306.99","5259.29","5259.29","5136.38","-0.15%"
"232","000006","地产指数","7120.27","-220.42","-3.00%","2.92","1147536896","10367893248","7340.70","7243.73","7306.59","7092.52","-0.25%"
"233","000927","央企100","1790.55","-55.42","-3.00%","2.25","12294392320","155291607040","1845.96","1823.00","1827.07","1785.51","-0.11%"
"234","000940","财富大盘","5293.05","-164.28","-3.01%","2.23","31298395392","408581857280","5457.33","5399.76","5399.76","5278.17","-0.11%"
"235","000909","300材料","2305.81","-71.51","-3.01%","2.07","3832526032","37129368576","2377.32","2350.00","2350.00","2300.83","-0.05%"
"236","000921","300R价值","4312.06","-134.37","-3.02%","2.26","28092336640","360555749376","4446.43","4395.98","4401.51","4300.83","-0.11%"
"237","000965","基本200","4878.37","-152.28","-3.03%","2.27","23990374144","288999505920","5030.65","4980.38","4980.38","4866.35","-0.11%"
"238","000821","300红利","5930.65","-187.24","-3.06%","2.16","6005570304","63687865600","6117.89","6042.05","6042.05","5909.86","-0.10%"
