code,dayVol,weekVol,名称
000904,0.013462879320953544,0.03101165849851528,中证200
000905,0.01477796029018461,0.03323171595912878,中证500
000906,0.012063035486349542,0.027723118784900195,中证800
000908,0.01359024235235144,0.029592588799697457,300能源
000909,0.014914975352177251,0.03328317235642288,300材料
000910,0.013085281426913694,0.030712495223969648,300工业
000911,0.013864093568286483,0.03127461639519681,300可选
000912,0.01631203873232932,0.036304758591428954,300消费
000913,0.014133606972804233,0.0326288409519419,300医药
000914,0.011928565721273498,0.029533318593600363,300金融
000915,0.019343179630420353,0.03694070205088802,300信息
000916,0.03032300479124519,0.053663788177978525,300电信
000917,0.009804785833615336,0.02233069030490516,300公用
000918,0.012224869966507382,0.02864211532543099,300成长
000919,0.010949312593426372,0.02651578104443168,300价值
000922,0.011061206231479754,0.02547705126905683,中证红利
000925,0.010456849315291027,0.025616373528857928,基本面50
000928,0.014392765920495822,0.030986644972022158,中证能源
000931,0.013386551674633066,0.03027652550838639,中证可选
000932,0.015101575138306586,0.03420795866635893,中证消费
000933,0.014201360589477189,0.03242115045029755,中证医药
000934,0.011900834193128117,0.029250346529191826,中证金融
000935,0.01692649269684985,0.038588023708196396,中证信息
000939,0.012967638275978778,0.029850164681837797,民企200
000940,0.010481403961656066,0.02522808629333578,财富大盘
000944,0.015345441300298496,0.033519131503493095,内地资源
000950,0.011876975220986017,0.028458515582074927,300基建
000951,0.010565932958211614,0.026270356806646803,300银行
000952,0.017643773315375005,0.040486122906726485,300地产
000957,0.01293308856007976,0.030810575276542383,300运输
000958,0.014730780968063302,0.03392442210612321,创业成长
000959,0.010821267243868612,0.02639654724063832,银河99
000961,0.015068601043267764,0.03316896699716055,中证上游
000963,0.013106440275416655,0.02981821676197712,中证下游
000964,0.013849534311874755,0.031287396942894535,中证新兴
000966,0.014326204442119654,0.03198965902123055,基本400
000969,0.012813869106384298,0.029063413050408597,300非周
000971,0.012383533391248352,0.028739380187925965,等权90
000977,0.01340781722711207,0.030910615755092796,内地低碳
000978,0.014556183384039169,0.032635131805079945,医药100
000979,0.015532949453107587,0.03396909329052294,大宗商品
000982,0.014820955871204505,0.033169068423330436,500等权
000983,0.017199712050726877,0.03967556525759286,智能资产
000984,0.0125101960165024,0.028559778119529762,300等权
000986,0.014684054452555257,0.03136289722764382,全指能源
000987,0.015226475770458613,0.034680298741863395,全指材料
000989,0.013531839788190636,0.03085786214675768,全指可选
000990,0.014041431588198672,0.03200351841652202,全指消费
000991,0.014413114106196069,0.032763560795286875,全指医药
000992,0.011813412271452422,0.029005791977717296,全指金融
000993,0.01771740817842729,0.04075620133106502,全指信息
000998,0.01675935680935237,0.03836737214978712,中证TMT
399001,0.014224152949118461,0.03217497751034378,深证成指
399002,0.014225641899243961,0.03219430326795566,深成指R
399003,0.011333553948416165,0.024178594953661637,成份B指
399004,0.013935515674480434,0.03161465911022006,深证100R
399005,0.014594610517835864,0.03311871917490671,中小板指
399006,0.01683319128720002,0.03785532063148003,创业板指
399007,0.0140312202594431,0.0316785667248297,深证300
