,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,district,fullname,lat,lng,local,name,region
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,浦东,浦东新区文化馨苑,31.18973900000001,121.551023,"{'lng': 121.551023, 'lat': 31.189739}",文化馨苑,北蔡
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,浦东,浦东新区芳华路229弄,31.201764,121.561117,"{'lng': 121.561117, 'lat': 31.201764}",芳华路229弄,北蔡
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,浦东,浦东新区锦华花园,31.19176,121.54513999999999,"{'lng': 121.54514, 'lat': 31.19176}",锦华花园,北蔡
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,浦东,浦东新区加东花园,31.18709500000001,121.564378,"{'lng': 121.564378, 'lat': 31.187095}",加东花园,北蔡
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,浦东,浦东新区南新四村,31.179496,121.547068,"{'lng': 121.547068, 'lat': 31.179496}",南新四村,北蔡
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,浦东,浦东新区芳草苑(浦东),31.19980300000001,121.559724,"{'lng': 121.559724, 'lat': 31.199803}",芳草苑(浦东),北蔡
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,浦东,浦东新区陆家嘴锦绣前城,31.202425,121.544101,"{'lng': 121.544101, 'lat': 31.202425}",陆家嘴锦绣前城,北蔡
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,浦东,浦东新区莲怡苑,31.188670000000002,121.569801,"{'lng': 121.569801, 'lat': 31.18867}",莲怡苑,北蔡
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,浦东,浦东新区惠德新邨,31.203360999999997,121.568674,"{'lng': 121.568674, 'lat': 31.203361}",惠德新邨,北蔡
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,浦东,浦东新区芳华路580弄,31.201417,121.569102,"{'lng': 121.569102, 'lat': 31.201417}",芳华路580弄,北蔡
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,浦东,浦东新区莲溪一村,31.188714,121.566501,"{'lng': 121.566501, 'lat': 31.188714}",莲溪一村,北蔡
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,浦东,浦东新区莲业新村,31.185157,121.558575,"{'lng': 121.558575, 'lat': 31.185157}",莲业新村,北蔡
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,浦东,浦东新区大华锦绣华城(十一街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十一街区),北蔡
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,浦东,浦东新区高科西路3060弄,31.195644,121.570747,"{'lng': 121.570747, 'lat': 31.195644}",高科西路3060弄,北蔡
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,浦东,浦东新区莲溪六村,31.193324,121.565701,"{'lng': 121.565701, 'lat': 31.193324}",莲溪六村,北蔡
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,浦东,浦东新区虞泽苑,31.181989,121.5617,"{'lng': 121.5617, 'lat': 31.181989}",虞泽苑,北蔡
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,浦东,浦东新区大华锦绣华城(九街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(九街区),北蔡
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,浦东,浦东新区大华锦绣华城(十街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十街区),北蔡
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,浦东,浦东新区大华锦绣华城(二街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(二街区),北蔡
96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,浦东,浦东新区莲溪路430弄,31.188672999999998,121.567646,"{'lng': 121.567646, 'lat': 31.188673}",莲溪路430弄,北蔡
97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,浦东,浦东新区莲中二村,31.18620300000001,121.564572,"{'lng': 121.564572, 'lat': 31.186203}",莲中二村,北蔡
98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,浦东,浦东新区锦三角花园(别墅),31.193609999999996,121.549031,"{'lng': 121.549031, 'lat': 31.19361}",锦三角花园(别墅),北蔡
99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,浦东,浦东新区绿川公寓,31.178444,121.55763,"{'lng': 121.55763, 'lat': 31.178444}",绿川公寓,北蔡
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,浦东,浦东新区芳华路268弄,31.201,121.56273300000001,"{'lng': 121.562733, 'lat': 31.201}",芳华路268弄,北蔡
101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,浦东,浦东新区莲琼苑,31.185075,121.56676999999999,"{'lng': 121.56677, 'lat': 31.185075}",莲琼苑,北蔡
102,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,浦东,浦东新区莲溪二村,31.191335,121.565913,"{'lng': 121.565913, 'lat': 31.191335}",莲溪二村,北蔡
103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,浦东,浦东新区芳芯苑,31.199131,121.564474,"{'lng': 121.564474, 'lat': 31.199131}",芳芯苑,北蔡
104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,浦东,浦东新区大华锦绣华城(十六街区)(别墅),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十六街区)(别墅),北蔡
